algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,100,31,0.058390,0.000140,1712.62,0.038550,0.000523,0.018594,0.000331
SHA256,1000,31,0.581645,0.003267,1719.26,0.364206,0.004072,0.157291,0.009161
SHA3_256,0.000976562,31,0.000004,0.000001,218.185,0.000019,0.000001,0.000016,0.000033
SHA3_256,0.000976562,31,0.000005,0.000002,212.451,0.000020,0.000001,0.000011,0.000002
SHA3_256,0.000976562,31,0.000004,0.000000,230.05,0.000020,0.000002,0.000011,0.000001
SHA3_256,0.00976562,31,0.000023,0.000001,416.466,0.000022,0.000001,0.000011,0.000001
SHA3_256,0.00976562,31,0.000023,0.000001,418.014,0.000023,0.000002,0.000012,0.000001
SHA3_256,0.00976562,31,0.000024,0.000002,413.552,0.000023,0.000003,0.000011,0.000001
SHA3_256,0.0488281,31,0.000108,0.000002,452.515,0.000035,0.000001,0.000015,0.000002
SHA3_256,0.0488281,31,0.000108,0.000002,453.272,0.000035,0.000002,0.000015,0.000001
SHA3_256,0.0488281,31,0.000108,0.000004,452.52,0.000037,0.000003,0.000016,0.000002
SHA3_256,0.0976562,31,0.000213,0.000003,458.055,0.000053,0.000002,0.000023,0.000005
SHA3_256,0.0976562,31,0.000213,0.000003,458.948,0.000050,0.000001,0.000021,0.000002
SHA3_256,0.0976562,31,0.000214,0.000007,456.825,0.000055,0.000003,0.000025,0.000001
SHA3_256,0.488281,31,0.001054,0.000003,463.149,0.000173,0.000002,0.000052,0.000028
SHA3_256,0.488281,31,0.001055,0.000004,463.004,0.000173,0.000004,0.000049,0.000010
SHA3_256,0.488281,31,0.001055,0.000002,462.943,0.000173,0.000002,0.000051,0.000011
SHA3_256,0.976562,31,0.002106,0.000002,463.809,0.000325,0.000003,0.000087,0.000056
SHA3_256,0.976562,31,0.002105,0.000004,463.92,0.000324,0.000005,0.000201,0.000132
SHA3_256,0.976562,31,0.002108,0.000006,463.281,0.000323,0.000003,0.000201,0.000131
SHA3_256,1,31,0.002164,0.000018,462.11,0.000341,0.000028,0.000114,0.000119
SHA3_256,10,31,0.021564,0.000079,463.73,0.003770,0.000144,0.001013,0.000234
SHA3_256,50,31,0.107898,0.000737,463.40,0.019263,0.000317,0.009741,0.000188
SHA3_256,100,31,0.216309,0.002446,462.30,0.038834,0.001221,0.018637,0.000370
SHA3_256,1000,31,2.152478,0.015844,464.58,0.363858,0.002339,0.154467,0.000509
