algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
LZMA,50,31,6643.28x,0.744190,0.003903,0.018338,0.000133,0.008603,0.000387,0.058970,0.000537
LZMA,100,31,6758.03x,1.473361,0.004195,0.036313,0.000341,0.016764,0.000863,0.117513,0.001738
LZMA,1000,31,6862.95x,14.977528,0.293243,0.357119,0.001701,0.152191,0.016791,1.146054,0.004213
ZLIB,0.000976562,31,7.70x,0.000014,0.000008,0.000020,0.000002,0.000011,0.000001,0.000005,0.000002
ZLIB,0.000976562,31,7.70x,0.000015,0.000009,0.000020,0.000002,0.000011,0.000001,0.000005,0.000002
ZLIB,0.000976562,31,7.70x,0.000015,0.000009,0.000020,0.000001,0.000011,0.000000,0.000005,0.000003
ZLIB,0.00976562,31,49.00x,0.000048,0.000006,0.000023,0.000001,0.000012,0.000002,0.000010,0.000001
ZLIB,0.00976562,31,49.00x,0.000047,0.000003,0.000023,0.000001,0.000012,0.000001,0.000010,0.000001
ZLIB,0.00976562,31,49.00x,0.000047,0.000003,0.000024,0.000001,0.000012,0.000001,0.000010,0.000002
ZLIB,0.0488281,31,102.61x,0.000199,0.000011,0.000035,0.000002,0.000014,0.000001,0.000036,0.000001
ZLIB,0.0488281,31,102.61x,0.000202,0.000012,0.000036,0.000004,0.000017,0.000010,0.000036,0.000001
ZLIB,0.0488281,31,102.61x,0.000206,0.000016,0.000038,0.000004,0.000016,0.000001,0.000036,0.000002
ZLIB,0.0976562,31,121.62x,0.000457,0.000013,0.000049,0.000001,0.000019,0.000001,0.000070,0.000004
ZLIB,0.0976562,31,121.62x,0.000454,0.000010,0.000051,0.000004,0.000020,0.000001,0.000069,0.000008
ZLIB,0.0976562,31,121.62x,0.000461,0.000038,0.000054,0.000002,0.000021,0.000002,0.000068,0.000003
ZLIB,0.488281,31,145.17x,0.002401,0.000074,0.000172,0.000008,0.000045,0.000002,0.000427,0.000055
ZLIB,0.488281,31,145.17x,0.002359,0.000006,0.000174,0.000009,0.000048,0.000002,0.000321,0.000041
ZLIB,0.488281,31,145.17x,0.002358,0.000019,0.000174,0.000012,0.000045,0.000002,0.000321,0.000043
ZLIB,0.976562,31,148.75x,0.004810,0.000031,0.000327,0.000016,0.000156,0.000105,0.000905,0.000137
ZLIB,0.976562,31,148.75x,0.004787,0.000083,0.000328,0.000018,0.000110,0.000051,0.000762,0.000130
ZLIB,0.976562,31,148.75x,0.004769,0.000022,0.000327,0.000016,0.000110,0.000052,0.000763,0.000130
ZLIB,1,31,148.86x,0.004977,0.000140,0.000328,0.000011,0.000123,0.000088,0.000815,0.000185
ZLIB,10,31,154.49x,0.049854,0.001758,0.003478,0.000101,0.000988,0.000353,0.007301,0.000648
ZLIB,50,31,158.47x,0.247550,0.004009,0.018020,0.000119,0.008613,0.000633,0.042042,0.000725
ZLIB,100,31,158.75x,0.494861,0.001665,0.035750,0.000269,0.016212,0.000263,0.082179,0.000801
ZLIB,1000,31,159.01x,4.951058,0.009414,0.355308,0.001459,0.148965,0.008093,0.807274,0.002151
ZSTD,0.000976562,31,7.94x,0.000056,0.000262,0.000019,0.000001,0.000010,0.000001,0.000018,0.000074
ZSTD,0.00976562,31,40.00x,0.000014,0.000000,0.000022,0.000001,0.000011,0.000002,0.000006,0.000000
ZSTD,0.0488281,31,83.52x,0.000024,0.000001,0.000034,0.000002,0.000014,0.000002,0.000011,0.000000
ZSTD,0.0976562,31,94.29x,0.000033,0.000003,0.000050,0.000005,0.000019,0.000001,0.000016,0.000000
ZSTD,0.488281,31,103.00x,0.000127,0.000003,0.000171,0.000008,0.000045,0.000004,0.000061,0.000001
ZSTD,0.976562,31,104.01x,0.000253,0.000025,0.000320,0.000008,0.000074,0.000003,0.000118,0.000002
ZSTD,1,31,104.13x,0.000304,0.000164,0.000340,0.000052,0.000143,0.000298,0.000190,0.000322
ZSTD,10,31,535.21x,0.001766,0.000076,0.003513,0.000070,0.000927,0.000214,0.000729,0.000179
ZSTD,50,31,2237.49x,0.008652,0.000127,0.018277,0.000245,0.008499,0.000285,0.006230,0.000402
ZSTD,100,31,3714.14x,0.017485,0.000251,0.036127,0.000298,0.016429,0.000196,0.011386,0.000490
ZSTD,1000,31,9147.32x,0.172863,0.001607,0.355780,0.002431,0.161600,0.029512,0.101464,0.000863
