status,benchmark_dir,error,direction,requirement_type,algorithm,stage_name,objects,size_mb,workers,input_mode,inter_arrival,aes_key_bits,service_time_model,container_platform,queue_container_image,ida_k,ida_m,requirement_label,stage_compute_seconds_real_seconds,stage_compute_seconds_simulator_seconds,stage_compute_seconds_error_seconds,stage_compute_seconds_ape_percent,family_compute_seconds_real_seconds,family_compute_seconds_simulator_seconds,family_compute_seconds_error_seconds,family_compute_seconds_ape_percent,requirement_compute_seconds_real_seconds,requirement_compute_seconds_simulator_seconds,requirement_compute_seconds_error_seconds,requirement_compute_seconds_ape_percent,total_stage_compute_seconds_real_seconds,total_stage_compute_seconds_simulator_seconds,total_stage_compute_seconds_error_seconds,total_stage_compute_seconds_ape_percent
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200450_722185_proxy_dd_output_compress_bz2_30obj_10p0mb_2w_0p18ia_256bits_linear_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,2,compressible,0.18,256,linear,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,32.84608605236281,27.15977,-5.686316052362805,17.312004977694308,32.84608605236281,27.15977,-5.686316052362805,17.312004977694308,32.84608605236281,27.15977,-5.686316052362805,17.312004977694308,32.84608605236281,27.15977,-5.686316052362805,17.312004977694308
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200524_691941_proxy_dd_output_compress_bz2_30obj_10p0mb_2w_0p18ia_256bits_log_log_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,2,compressible,0.18,256,log-log,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,33.23007137849345,27.031914,-6.198157378493448,18.652254182351548,33.23007137849345,27.031914,-6.198157378493448,18.652254182351548,33.23007137849345,27.031914,-6.198157378493448,18.652254182351548,33.23007137849345,27.031914,-6.198157378493448,18.652254182351548
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200559_029602_proxy_dd_output_compress_bz2_30obj_10p0mb_4w_0p18ia_256bits_linear_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,4,compressible,0.18,256,linear,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,16.303371908288682,14.487282,-1.8160899082886814,11.139351531111034,16.303371908288682,14.487282,-1.8160899082886814,11.139351531111034,16.303371908288682,14.487282,-1.8160899082886814,11.139351531111034,16.303371908288682,14.487282,-1.8160899082886814,11.139351531111034
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200617_304712_proxy_dd_output_compress_bz2_30obj_10p0mb_4w_0p18ia_256bits_log_log_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,4,compressible,0.18,256,log-log,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,16.52188284593285,14.417851,-2.10403184593285,12.734818819095997,16.52188284593285,14.417851,-2.10403184593285,12.734818819095997,16.52188284593285,14.417851,-2.10403184593285,12.734818819095997,16.52188284593285,14.417851,-2.10403184593285,12.734818819095997
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200635_741214_proxy_dd_output_compress_bz2_30obj_10p0mb_8w_0p18ia_256bits_linear_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,8,compressible,0.18,256,linear,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,9.506745189341018,9.055605,-0.45114018934101807,4.745474716697333,9.506745189341018,9.055605,-0.45114018934101807,4.745474716697333,9.506745189341018,9.055605,-0.45114018934101807,4.745474716697333,9.506745189341018,9.055605,-0.45114018934101807,4.745474716697333
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200646_712599_proxy_dd_output_compress_bz2_30obj_10p0mb_8w_0p18ia_256bits_log_log_apptainer_compressible,,output,compress,BZ2,stage1,30,10.0,8,compressible,0.18,256,log-log,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,8.954638286741101,9.012173,0.05753471325889947,0.6425129794923109,8.954638286741101,9.012173,0.05753471325889947,0.6425129794923109,8.954638286741101,9.012173,0.05753471325889947,0.6425129794923109,8.954638286741101,9.012173,0.05753471325889947,0.6425129794923109
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_200657_094577_proxy_dd_output_compress_bz2_30obj_100p0mb_1w_0p18ia_256bits_linear_apptainer_compressible,,output,compress,BZ2,stage1,30,100.0,1,compressible,0.18,256,linear,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,663.5546981022926,545.77589,-117.7788081022926,17.74967586532497,663.5546981022926,545.77589,-117.7788081022926,17.74967586532497,663.5546981022926,545.77589,-117.7788081022926,17.74967586532497,663.5546981022926,545.77589,-117.7788081022926,17.74967586532497
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_201808_364500_proxy_dd_output_compress_bz2_30obj_100p0mb_1w_0p18ia_256bits_log_log_apptainer_compressible,,output,compress,BZ2,stage1,30,100.0,1,compressible,0.18,256,log-log,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,670.9759804527857,544.30069,-126.6752904527857,18.879258593922113,670.9759804527857,544.30069,-126.6752904527857,18.879258593922113,670.9759804527857,544.30069,-126.6752904527857,18.879258593922113,670.9759804527857,544.30069,-126.6752904527857,18.879258593922113
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_202927_051369_proxy_dd_output_compress_bz2_30obj_100p0mb_2w_0p18ia_256bits_linear_apptainer_compressible,,output,compress,BZ2,stage1,30,100.0,2,compressible,0.18,256,linear,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,330.68170299800113,272.905684,-57.77601899800112,17.47179189964144,330.68170299800113,272.905684,-57.77601899800112,17.47179189964144,330.68170299800113,272.905684,-57.77601899800112,17.47179189964144,330.68170299800113,272.905684,-57.77601899800112,17.47179189964144
ok,/lustre/uc3m_a0/dynamic/dantedomizzi/pruebassimulador/service_time_accuracy3/20260522_203504_265111_proxy_dd_output_compress_bz2_30obj_100p0mb_2w_0p18ia_256bits_log_log_apptainer_compressible,,output,compress,BZ2,stage1,30,100.0,2,compressible,0.18,256,log-log,apptainer,/home/dantsanc/SimulatorContinuum/stages/single_queue.sif,8,4,compress:BZ2,332.2607512520917,272.366467,-59.89428425209172,18.026289300311895,332.2607512520917,272.366467,-59.89428425209172,18.026289300311895,332.2607512520917,272.366467,-59.89428425209172,18.026289300311895,332.2607512520917,272.366467,-59.89428425209172,18.026289300311895
