size_kb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
100,10,4,28,0.000259,0.000008,0.000022,0.000017,0.000139,0.000111
100,10,4,29,0.000255,0.000009,0.000022,0.000016,0.000138,0.000112
100,10,4,30,0.000255,0.000009,0.000022,0.000030,0.000139,0.000113
100,10,4,31,0.000255,0.000008,0.000021,0.000017,0.000136,0.000111
500,4,2,1,0.000656,0.000149,0.000110,0.000176,0.000251,0.000321
500,4,2,2,0.000678,0.000152,0.000094,0.000171,0.000257,0.000274
500,4,2,3,0.000652,0.000172,0.000090,0.000139,0.000256,0.000312
500,4,2,4,0.000642,0.000105,0.000091,0.000115,0.000241,0.000287
500,4,2,5,0.000627,0.000094,0.000091,0.000095,0.000267,0.000294
500,4,2,6,0.000622,0.000119,0.000137,0.000129,0.000221,0.000269
500,4,2,7,0.000638,0.000234,0.000103,0.000092,0.000244,0.000275
500,4,2,8,0.000634,0.000094,0.000083,0.000085,0.000279,0.000317
500,4,2,9,0.000633,0.000096,0.000079,0.000088,0.000262,0.000308
500,4,2,10,0.000639,0.000128,0.000110,0.000094,0.000227,0.000306
500,4,2,11,0.000648,0.000095,0.000092,0.000091,0.000254,0.000330
500,4,2,12,0.000631,0.000091,0.000079,0.000084,0.000282,0.000325
500,4,2,13,0.000633,0.000110,0.000122,0.000082,0.000230,0.000304
500,4,2,14,0.000633,0.000094,0.000120,0.000085,0.000225,0.000290
500,4,2,15,0.000629,0.000096,0.000085,0.000091,0.000251,0.000322
500,4,2,16,0.000632,0.000094,0.000114,0.000091,0.000214,0.000349
500,4,2,17,0.000647,0.000091,0.000083,0.000088,0.000292,0.000280
500,4,2,18,0.000627,0.000148,0.000120,0.000080,0.000268,0.000273
500,4,2,19,0.000619,0.000163,0.000077,0.000085,0.000300,0.000280
500,4,2,20,0.000646,0.000096,0.000081,0.000096,0.000357,0.000276
500,4,2,21,0.000668,0.000094,0.000080,0.000084,0.000275,0.000276
500,4,2,22,0.000656,0.000133,0.000079,0.000092,0.000277,0.000266
500,4,2,23,0.000653,0.000095,0.000082,0.000099,0.000272,0.000272
500,4,2,24,0.000657,0.000091,0.000090,0.000086,0.000260,0.000262
500,4,2,25,0.000666,0.000093,0.000120,0.000102,0.000222,0.000257
500,4,2,26,0.000689,0.000139,0.000117,0.000133,0.000234,0.000252
