studies,workers,total_dicoms,stage,application_task,application_work_seconds,application_seconds_per_dicom,stage_work_seconds,stage_work_seconds_per_dicom,stage_wall_seconds,stage_wall_seconds_per_dicom,timing_log
1,4,162,edge,edge_acquisition,1.0384,0.0064098765432098765,4.0390999999999995,0.024932716049382714,1.069,0.006598765432098765,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w4/workflow_timing.log
1,4,162,fog,fog_preprocessing,6.995,0.043179012345679016,12.646600000000001,0.07806543209876544,3.2602,0.020124691358024693,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w4/workflow_timing.log
1,4,162,cloud,cloud_inference,34.0803,0.21037222222222224,36.1496,0.22314567901234567,9.2702,0.057223456790123466,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w4/workflow_timing.log
1,8,162,edge,edge_acquisition,1.2564,0.0077555555555555555,4.7214,0.029144444444444445,0.6579,0.004061111111111112,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w8/workflow_timing.log
1,8,162,fog,fog_preprocessing,12.501000000000001,0.07716666666666668,19.4606,0.12012716049382716,2.5443,0.015705555555555556,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w8/workflow_timing.log
1,8,162,cloud,cloud_inference,55.5405,0.3428425925925926,57.4536,0.3546518518518519,7.4452,0.045958024691358026,CaseStudyBoneTumore/resultsdicombydicom/1std/exp_w8/workflow_timing.log
20,1,3240,edge,edge_acquisition,73.1365,0.022572993827160492,183.3953,0.05660348765432099,183.4464,0.056619259259259265,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w1/workflow_timing.log
20,1,3240,fog,fog_preprocessing,62.4785,0.019283487654320988,144.5502,0.044614259259259256,144.6378,0.0446412962962963,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w1/workflow_timing.log
20,1,3240,cloud,cloud_inference,216.4133,0.06679422839506173,244.5486,0.07547796296296296,244.6623,0.07551305555555556,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w1/workflow_timing.log
20,16,3240,edge,edge_acquisition,51.488099999999996,0.01589138888888889,178.5203,0.055098858024691354,11.2883,0.0034840432098765433,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w16/workflow_timing.log
20,16,3240,fog,fog_preprocessing,265.50919999999996,0.08194728395061728,1016.6211,0.31377194444444445,67.6504,0.020879753086419754,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w16/workflow_timing.log
20,16,3240,cloud,cloud_inference,410.0562,0.12656055555555557,710.2941,0.21922657407407406,51.0505,0.015756327160493827,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w16/workflow_timing.log
20,2,3240,edge,edge_acquisition,18.416,0.005683950617283951,290.9221,0.08979077160493827,145.5951,0.04493675925925926,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w2/workflow_timing.log
20,2,3240,fog,fog_preprocessing,66.0082,0.020372901234567902,154.495,0.047683641975308645,77.3769,0.023881759259259262,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w2/workflow_timing.log
20,2,3240,cloud,cloud_inference,246.9801,0.07622842592592592,274.9205,0.08485200617283951,137.5765,0.042461882716049386,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w2/workflow_timing.log
20,32,3240,edge,edge_acquisition,73.36389999999999,0.022643179012345676,217.74249999999998,0.06720447530864197,6.962,0.002148765432098765,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w32/workflow_timing.log
20,32,3240,fog,fog_preprocessing,144.4335,0.044578240740740745,1285.6389,0.39680212962962963,41.9496,0.012947407407407406,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w32/workflow_timing.log
20,32,3240,cloud,cloud_inference,570.4292000000002,0.17605839506172843,841.5215000000002,0.2597288580246914,31.8508,0.009830493827160494,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w32/workflow_timing.log
20,4,3240,edge,edge_acquisition,9.5146,0.0029366049382716047,331.957,0.10245586419753086,83.2075,0.025681327160493827,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w4/workflow_timing.log
20,4,3240,fog,fog_preprocessing,120.57489999999999,0.03721447530864197,311.03819999999996,0.09599944444444443,78.2302,0.024145123456790124,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w4/workflow_timing.log
20,4,3240,cloud,cloud_inference,265.2098,0.08185487654320987,301.39509999999996,0.09302317901234566,75.6707,0.023355154320987653,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w4/workflow_timing.log
20,8,3240,edge,edge_acquisition,38.279,0.011814506172839507,402.8923,0.12434947530864197,51.194,0.01580061728395062,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w8/workflow_timing.log
20,8,3240,fog,fog_preprocessing,190.31510000000003,0.05873922839506174,505.7265,0.15608842592592592,64.1924,0.019812469135802473,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w8/workflow_timing.log
20,8,3240,cloud,cloud_inference,296.15810000000005,0.09140682098765433,439.02090000000004,0.1355002777777778,55.9331,0.017263302469135804,CaseStudyBoneTumore/resultsdicombydicom/20std/exp_w8/workflow_timing.log
30,1,4860,edge,edge_acquisition,171.5408,0.03529646090534979,344.5132,0.07088748971193415,356.5841,0.07337121399176955,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w1/workflow_timing.log
30,1,4860,fog,fog_preprocessing,92.499,0.019032716049382715,222.2286,0.04572604938271605,222.3304,0.04574699588477366,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w1/workflow_timing.log
30,1,4860,cloud,cloud_inference,320.9533,0.06603977366255144,361.4126,0.07436473251028806,361.5577,0.07439458847736626,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w1/workflow_timing.log
30,16,4860,edge,edge_acquisition,83.79210000000002,0.017241172839506175,627.4421,0.12910331275720163,42.5435,0.00875380658436214,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w16/workflow_timing.log
30,16,4860,fog,fog_preprocessing,378.6636000000001,0.07791432098765434,1653.3821,0.3402020781893004,124.5385,0.025625205761316872,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w16/workflow_timing.log
30,16,4860,cloud,cloud_inference,716.6946999999999,0.1474680452674897,842.637,0.1733820987654321,60.1681,0.012380267489711935,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w16/workflow_timing.log
30,2,4860,edge,edge_acquisition,149.9327,0.030850349794238684,526.3026,0.10829271604938272,263.6087,0.054240473251028806,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w2/workflow_timing.log
30,2,4860,fog,fog_preprocessing,119.20859999999999,0.024528518518518515,270.5108,0.055660658436214,135.4457,0.027869485596707818,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w2/workflow_timing.log
30,2,4860,cloud,cloud_inference,363.40189999999996,0.07477405349794237,407.5585,0.08385977366255144,203.9507,0.0419651646090535,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w2/workflow_timing.log
30,32,4860,edge,edge_acquisition,116.05860000000001,0.02388037037037037,335.5215,0.06903734567901235,10.6133,0.00218380658436214,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w32/workflow_timing.log
30,32,4860,fog,fog_preprocessing,618.1328000000001,0.12718781893004116,1851.8659,0.38104236625514404,60.654,0.012480246913580248,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w32/workflow_timing.log
30,32,4860,cloud,cloud_inference,859.6474000000001,0.17688218106995887,1912.2773000000002,0.3934726954732511,63.8098,0.013129588477366255,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w32/workflow_timing.log
30,4,4860,edge,edge_acquisition,46.07769999999999,0.009481008230452673,725.854,0.14935267489711934,181.8484,0.03741736625514403,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w4/workflow_timing.log
30,4,4860,fog,fog_preprocessing,143.613,0.02955,509.3759,0.10480985596707819,127.9438,0.02632588477366255,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w4/workflow_timing.log
30,4,4860,cloud,cloud_inference,393.5543,0.08097825102880658,453.9884,0.09341325102880658,114.1948,0.02349687242798354,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w4/workflow_timing.log
30,8,4860,edge,edge_acquisition,60.354600000000005,0.012418641975308642,881.4861000000001,0.18137574074074075,112.1854,0.023083415637860084,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w8/workflow_timing.log
30,8,4860,fog,fog_preprocessing,137.55319999999998,0.028303127572016456,986.478,0.202979012345679,126.5097,0.026030802469135802,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w8/workflow_timing.log
30,8,4860,cloud,cloud_inference,484.744,0.09974156378600824,635.9972,0.13086362139917695,82.2021,0.016914012345679012,CaseStudyBoneTumore/resultsdicombydicom/30std/exp_w8/workflow_timing.log
