studies,workers,total_dicoms,stage,task,task_count,task_work_seconds,task_work_seconds_per_dicom,mean_chunk_seconds,timing_log
10,2,1620,edge,edge_acquisition,2,14.438600000000001,0.008912716049382716,7.2193000000000005,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,edge,encode_out,2,97.8026,0.060371975308641974,48.9013,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,edge,encrypt_out,2,3.3793,0.0020859876543209877,1.68965,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,edge,integrity_out,2,4.6469,0.0028684567901234564,2.32345,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,compress_out,2,3.2312,0.001994567901234568,1.6156,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,decode_in,2,17.0995,0.010555246913580247,8.54975,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,decompress_in,2,5.8243,0.003595246913580247,2.91215,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,decrypt_in,2,11.2129,0.006921543209876543,5.60645,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,encode_out,2,16.4247,0.010138703703703705,8.21235,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,encrypt_out,2,3.9105,0.0024138888888888886,1.95525,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,fog_preprocessing,2,34.3424,0.02119901234567901,17.1712,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,integrity_out,2,2.0265000000000004,0.0012509259259259262,1.0132500000000002,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,fog,verify_in,2,3.0058,0.001855432098765432,1.5029,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,cloud,cloud_inference,2,124.8347,0.07705845679012345,62.41735,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,cloud,decode_in,2,4.7696000000000005,0.002944197530864198,2.3848000000000003,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,cloud,decompress_in,2,2.7339,0.0016875925925925927,1.36695,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,cloud,decrypt_in,2,4.157,0.0025660493827160493,2.0785,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,2,1620,cloud,verify_in,2,1.8987,0.001172037037037037,0.94935,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w2/workflow_timing.log
10,32,1620,edge,compress_out,32,12.6207,0.007790555555555555,0.394396875,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,edge,edge_acquisition,32,38.25659999999999,0.02361518518518518,1.1955187499999997,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,edge,encode_out,32,40.25989999999999,0.02485179012345678,1.2581218749999996,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,edge,encrypt_out,32,10.076899999999997,0.006220308641975306,0.3149031249999999,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,edge,integrity_out,32,11.747600000000002,0.007251604938271606,0.36711250000000006,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,compress_out,32,10.802999999999999,0.006668518518518518,0.33759374999999997,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,decode_in,32,19.0077,0.011733148148148149,0.593990625,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,decompress_in,32,13.006499999999999,0.008028703703703703,0.40645312499999997,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,decrypt_in,32,8.725,0.0053858024691358026,0.27265625,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,encode_out,32,34.05809999999999,0.02102351851851851,1.0643156249999997,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,encrypt_out,32,14.723500000000007,0.009088580246913584,0.4601093750000002,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,fog_preprocessing,32,92.8528,0.057316543209876544,2.90165,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,integrity_out,32,4.759200000000002,0.0029377777777777787,0.14872500000000005,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,fog,verify_in,32,26.671900000000004,0.016464135802469138,0.8334968750000001,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,cloud,cloud_inference,32,523.2923,0.3230199382716049,16.352884375,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,cloud,decode_in,32,15.149399999999998,0.00935148148148148,0.47341874999999994,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,cloud,decompress_in,32,6.6013,0.004074876543209876,0.206290625,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
10,32,1620,cloud,decrypt_in,32,7.882600000000001,0.004865802469135803,0.24633125000000003,CaseStudyBoneTumore/resultsdicombydicom/10std/exp_w32/workflow_timing.log
